time/s	Ewe/V	<I>/mA	
6.150399844627827E+000	1.3186768E-001	-2.322577627152207E+000
6.175399843996274E+000	1.3131663E-001	-2.117669638693322E+000
6.200399843364721E+000	1.3088010E-001	-2.234123548939820E+000
6.225399842733168E+000	1.3034813E-001	-2.192123797759422E+000
6.250399842101615E+000	1.2989967E-001	-2.203578162342325E+000
6.275399841470062E+000	1.2939157E-001	-2.274850648716093E+000
6.300399840838509E+000	1.2890014E-001	-2.244305285650768E+000
6.325399840206956E+000	1.2840398E-001	-2.261487030908457E+000
6.350399839575402E+000	1.2783146E-001	-2.314304829090839E+000
6.375399838943849E+000	1.2737584E-001	-2.279305069223057E+000
6.400399838312296E+000	1.2685819E-001	-2.295214023962622E+000
6.425399837680743E+000	1.2635008E-001	-2.309214030429722E+000
6.450399837049190E+000	1.2594931E-001	-2.314941338226205E+000
6.475399836417637E+000	1.2537919E-001	-2.293304985910666E+000
6.500399835786084E+000	1.2480190E-001	-2.358213679865010E+000
6.525399835154531E+000	1.2440591E-001	-2.261487004160880E+000
6.550399834522977E+000	1.2390736E-001	-2.212487257495514E+000
6.575399833891424E+000	1.2335391E-001	-2.285668831765655E+000
6.600399833259871E+000	1.2288876E-001	-2.189578484445807E+000
6.625399832628318E+000	1.2232339E-001	-2.411031645983456E+000
6.650399831996765E+000	1.2191309E-001	-2.304123243838553E+000
6.675399831365212E+000	1.2137874E-001	-2.162214697226887E+000
6.700399830733659E+000	1.2092311E-001	-2.307941237911589E+000
6.725399830102106E+000	1.2045795E-001	-2.194669229835259E+000
6.750399829470553E+000	1.1986873E-001	-2.366486534997818E+000
6.775399828838999E+000	1.1934870E-001	-2.395122494995601E+000
6.800399828207446E+000	1.1888114E-001	-2.333395698666580E+000
6.825399827575893E+000	1.1835157E-001	-2.271032424047583E+000
6.850399826944340E+000	1.1791025E-001	-2.275486787706619E+000
6.875399826312787E+000	1.1745463E-001	-2.204214729741217E+000
6.900399825681234E+000	1.1691073E-001	-2.261487070918072E+000
6.925399825049681E+000	1.1635970E-001	-2.267850581929082E+000
6.950399824418128E+000	1.1587305E-001	-2.402122579962018E+000
6.975399823786574E+000	1.1535063E-001	-2.288214214071634E+000
7.000399823155021E+000	1.1489978E-001	-2.316213867142796E+000
7.025399822523468E+000	1.1438213E-001	-2.351850248426203E+000
7.050399821891915E+000	1.1388118E-001	-2.202941876575359E+000
7.075399821260362E+000	1.1344224E-001	-2.208669118806725E+000
7.100399820628809E+000	1.1284350E-001	-2.264032397642726E+000
7.125399819997256E+000	1.1248567E-001	-2.316850420162078E+000
7.150399819365703E+000	1.1188931E-001	-2.305395801961435E+000
7.175399818734149E+000	1.1135495E-001	-2.281850497201077E+000
7.200399818102596E+000	1.1087070E-001	-2.300305051654576E+000
7.225399817471043E+000	1.1034352E-001	-2.282486769035451E+000
7.250399816839490E+000	1.0991413E-001	-2.328941110298041E+000
7.275399816207937E+000	1.0936786E-001	-2.404667917564510E+000
7.300399815576384E+000	1.0885974E-001	-2.323850197046994E+000
7.325399814944831E+000	1.0840174E-001	-2.269759583696725E+000
7.350599814308225E+000	1.0788170E-001	-2.283563910424711E+000
7.375599813676672E+000	1.0740460E-001	-2.285668834740063E+000
7.400599813045119E+000	1.0684402E-001	-2.341668332740667E+000
7.425599812413566E+000	1.0632160E-001	-2.456849613338715E+000
7.450599811782013E+000	1.0587312E-001	-2.419940640851856E+000
7.475599811150460E+000	1.0542228E-001	-2.236668906062846E+000
7.500599810518906E+000	1.0489269E-001	-2.166669320836672E+000
7.525599809887353E+000	1.0441083E-001	-2.405304516404861E+000
7.550599809255800E+000	1.0388125E-001	-2.433304319977760E+000
7.575599808624247E+000	1.0345663E-001	-2.448576738312838E+000
7.600599807992694E+000	1.0289366E-001	-2.440304203182464E+000
7.625599807361141E+000	1.0244758E-001	-2.458758674934508E+000
7.650599806729588E+000	1.0192993E-001	-2.311759499460472E+000
7.675599806098035E+000	1.0145522E-001	-2.372213759645824E+000
7.700599805466481E+000	1.0092327E-001	-2.341031980961564E+000
7.725599804834928E+000	1.0046525E-001	-2.309213885366916E+000
7.750599804203375E+000	9.9954754E-002	-2.366486347988253E+000
7.775599803571822E+000	9.9480040E-002	-2.481031243875627E+000
7.800599802940269E+000	9.8890834E-002	-2.484212948232894E+000
7.825599802308716E+000	9.8387495E-002	-2.456213089451204E+000
7.850599801677163E+000	9.7891316E-002	-2.424395065903662E+000
7.875599801045610E+000	9.7504869E-002	-2.396395438313489E+000
7.900599800414057E+000	9.6925199E-002	-2.448576713129880E+000
7.925599799782503E+000	9.6390858E-002	-2.486758641973125E+000
7.950599799150950E+000	9.5875591E-002	-2.384940936565407E+000
7.975599798519397E+000	9.5419966E-002	-2.406577071771029E+000
8.000599797887844E+000	9.4904698E-002	-2.426304345205436E+000
8.025599797256291E+000	9.4394207E-002	-2.488667451068761E+000
8.050599796624738E+000	9.3902804E-002	-2.487394801229232E+000
8.075599795993185E+000	9.3428090E-002	-2.321304792240262E+000
8.100599795361632E+000	9.2927136E-002	-2.483576564267269E+000
8.125599794730078E+000	9.2450038E-002	-2.425031452253464E+000
8.150599794098525E+000	9.1958635E-002	-2.348032035902147E+000
8.175599793466972E+000	9.1483921E-002	-2.304123144969347E+000
8.200599792835419E+000	9.0961501E-002	-2.377940882816914E+000
8.225599792203866E+000	9.0412840E-002	-2.454940517544749E+000
8.250599791572313E+000	8.9911893E-002	-2.432031436860562E+000
8.275599790940760E+000	8.9499198E-002	-2.484849408566969E+000
8.300599790309207E+000	8.8898063E-002	-2.378577151820068E+000
8.325599789677653E+000	8.8449590E-002	-2.502667383253588E+000
8.350599789046100E+000	8.7929562E-002	-2.279941588044162E+000
8.375599788414547E+000	8.7450072E-002	-2.409122725799680E+000
8.400599787782994E+000	8.6899035E-002	-2.327032088935376E+000
8.425599787151441E+000	8.6355142E-002	-2.402122666612264E+000
8.450599786519888E+000	8.5916221E-002	-2.475940509289515E+000
8.475599785888335E+000	8.5412875E-002	-2.439667661115529E+000
8.500599785256782E+000	8.4940553E-002	-2.450486016049979E+000
8.525599784625228E+000	8.4401436E-002	-2.453667650669805E+000
8.550599783993675E+000	8.3914794E-002	-2.307304839417338E+000
8.575599783362122E+000	8.3459169E-002	-2.391940822005275E+000
8.600599782730569E+000	8.2955830E-002	-2.489940184429299E+000
8.625599782099016E+000	8.2395248E-002	-2.474667584300033E+000
8.650599781467463E+000	8.1996880E-002	-2.339122962877152E+000
8.675599780835910E+000	8.1476837E-002	-2.451758696511376E+000
8.700599780204357E+000	8.0942489E-002	-2.351213919520378E+000
8.725599779572804E+000	8.0496401E-002	-2.415486078485840E+000
8.750599778941250E+000	7.9985917E-002	-2.352486345097413E+000
8.775599778309697E+000	7.9413399E-002	-2.395122572779648E+000
8.800599777678144E+000	7.8976855E-002	-2.439031600058075E+000
8.825599777046591E+000	7.8421041E-002	-2.435213262215257E+000
8.850599776415038E+000	7.7955872E-002	-2.355668318942199E+000
8.875599775783485E+000	7.7483550E-002	-2.376031943112622E+000
8.900599775151932E+000	7.6965898E-002	-2.356304648891093E+000
8.925599774520379E+000	7.6450631E-002	-2.346759276017547E+000
8.950599773888825E+000	7.5906746E-002	-2.428213380202649E+000
8.975599773257272E+000	7.5393863E-002	-2.358213829100144E+000
9.000599772625719E+000	7.4933469E-002	-2.408486095592380E+000
9.025599771994166E+000	7.4449211E-002	-2.406576955094927E+000
9.050599771362613E+000	7.3979281E-002	-2.464485708549617E+000
9.075599770731060E+000	7.3432997E-002	-2.489303809404376E+000
9.100599770099507E+000	7.2972603E-002	-2.321941163688901E+000
9.125599769467954E+000	7.2438255E-002	-2.370304630175230E+000
9.150599768836400E+000	7.1942076E-002	-2.411667850905793E+000
9.175599768204847E+000	7.1426809E-002	-2.235396386086945E+000
9.200599767573294E+000	7.0925862E-002	-2.410395347699524E+000
9.225599766941741E+000	7.0381977E-002	-2.436485965400919E+000
9.250599766310188E+000	6.9935888E-002	-2.386213541030878E+000
9.275599765678635E+000	6.9494568E-002	-2.390668085888031E+000
9.300599765047082E+000	6.8938754E-002	-2.416122600957763E+000
9.325599764415529E+000	6.8421103E-002	-2.313668403103947E+000
9.350599763783976E+000	6.7901075E-002	-2.447940596640110E+000
