time/s,<Ewe>/V,I/mA
119.001397,1.322974563,47.72581482
119.101397,1.323031306,47.82129669
119.201397,1.323094249,47.75764847
119.301397,1.323127985,47.63032913
119.401397,1.323139548,47.78947449
119.501397,1.323130727,47.69399261
119.601397,1.323103666,47.85313034
119.701397,1.323106408,47.72581482
119.801397,1.323111534,47.40753937
119.901397,1.323144197,47.63032913
120.001397,1.323180914,47.69399261
120.101397,1.323218584,47.75764847
120.201397,1.323264718,47.53485107
120.301397,1.323301911,47.82129669
120.401397,1.323307395,47.53485107
120.501397,1.323296785,47.69399261
120.601397,1.323303103,47.88496017
120.701397,1.323317766,47.98044205
120.8013969,1.32333684,47.88496017
120.9013969,1.323383093,48.07592773
121.0013969,1.323423982,47.88496017
121.1013969,1.323432088,47.75764847
121.2013969,1.323421717,47.88496017
121.3013969,1.323396683,47.40753937
121.4013969,1.32341671,47.78947449
121.5013969,1.323410273,47.72581482
121.6013969,1.323407054,48.17140961
121.7013969,1.32343936,47.82129669
121.8013969,1.32347703,47.91678238
121.9013969,1.323506832,47.9486084
122.0013969,1.32353282,47.53485107
122.1013969,1.323558807,47.85313034
122.2013969,1.323531985,47.75764847
122.3013969,1.323528886,47.59850693
122.4013969,1.323509216,47.50302505
122.5013969,1.323483467,47.91678238
122.6013969,1.323456049,47.66216278
122.7013969,1.323446035,47.78947449
122.8013969,1.323496103,47.40753937
122.9013969,1.323509812,48.04409409
123.0013969,1.323511839,47.53485107
123.1013969,1.323508024,47.78947449
123.2013969,1.323485017,48.13957596
123.3013969,1.323498249,47.69399261
123.4013969,1.323505521,47.88496017
123.5013969,1.323536754,47.56668091
123.6013969,1.323586226,47.72581482
123.7013969,1.323613882,47.78947449
123.8013969,1.323661447,47.78947449
123.9013969,1.323704839,47.53485107
124.0013969,1.323701382,47.85313034
124.1013969,1.323681116,47.98044205
124.2013969,1.323654771,48.01226425
124.3013969,1.323633432,47.56668091
124.4013969,1.32364285,47.82129669
124.5013969,1.323626161,47.40753937
124.6013969,1.323615313,47.4393692
124.7013968,1.323640347,47.75764847
124.8013968,1.323701024,47.66216278
124.9013968,1.32371676,47.56668091
125.0013968,1.323727489,47.91678238
125.1013968,1.323730826,47.69399261
125.2013968,1.323715806,47.69399261
125.3013968,1.323704839,48.04409409
125.4013968,1.323693752,47.40753937
